Brewery,Beers,
Rohrbach Brewing, Radle On radler; Sunday Brunch IPA; Jill and the Giant Peach sour; Barrel-aged Tripel.,
Genesee Brew House, Grape Pilsner; Orange Mosaic Cream Ale; TBD.,
Copper Leaf, Apricot Peach Wheat; Hazy IPA; Summer Ale; Juice News Hazy DIPA.,
Eli Fish, Wild Raspberry Pillow Talk (BA saison); Heavy Maple (2023); Foudre-aged Vienna Lager; Some big surprises.,
Fifth Frame, Blood Bath & Beyond (Blood Brothers collab) heavily fruited sour; Lucerna lager; Ice cream machine (!!!).,
Frequentem, Just Fruit (TBD fruits) heavily fruited sour; Natural Flavors Tangerine sour IPA; 12-degree Czech Pale Lage.,
Grow, Highborn Cold Pale Ale; Forest Aura Hazy IPA; Peach Brandy Barrel-Aged Barleywine.,
Irondequoit, Liberator doppelbock; Mocha Berrily Alive sour.,
K2 Brothers, Imperial Red Rye Ale; Italian Pilsner; Imperial Blue Razz Sour; BA Imperial Stout (aged in Journeyman barrel); Journeyman Wild Sour.,
Iron Tug, Fathom Lines IPA; Avast! Blueberry Cobbler Sour.,
Knucklehead, Tainted Haze IPA; Watermelon Kolsch.,
Laurentide, West Coast IPA; Earl Grey IPA; Mango Wheat Ale.,
Mortalis, Vanilla Ophion BA stout; Mortalis in the Park DIPA; Hydra Pistachio Molten Cake; Gemini Strawberry + Kiwi + Starburst.,
Nine Spot, Town of Porter Porter; NSB ESB; Roy Lichtenhainer lilac smoked sour wheat ale.,
Noble Shepherd, Pistachio Pudding Sour; New Zealand Pilsner w/ Sauvignon Blanc; mixed cans.,
Okay Beer, Curuba (Passionfruit) Kolsch; Oak-aged Local Cream Ale; TBD.,
Other Half, More Jasper than All Jasper TIPA; HDHC Broccoli’s Axe DIPA; Mmm… Fruit (Strawberry Banana) sour; Past and Present, Cream Ale; Doug (?!?!); TDH All Nectaron Everything DIPA; some wild surprises.
Rising Storm, Mango Guava Coconut It Was Written sour IPA; All of the Lights (Mosaic) hazy pale ale; The Union dry-hopped Pilsner.,
Roc, WWHD (What Would Heather Drink) dry-hopped Helles lager; Raspberry Miami Weisse sour.,
Sager, Gladiator Imperial Italian Pilsner; Jessica Rabit Red Ale; Burton-on-Genesee English IPA; King Charles Porter.,
Silver Lake, Barrel-Aged Midnight Creep imperial (slightly sour and funky) stout; Wheat Saison; Barrel-aged brett Grisette or German Pilsner.,
Stoneyard, Hats Off #1 (barrel fermented sour); Citrus Fruit Punch Nectar; Coconut Shrimp Kareem.,
Strangebird, Wyvern DIPA; Boat Shoes Pilsner; Wine BA Savoir Vivre Tripel.,
Swiftwater, Swifty Shifty lemon light lager; Kolsch; Fruit Float (Pineapple Orange Guava) heavily fruited sour; Dry-hopped saison (Bergamot).,
Three Heads, Barrel-aged Barleywine; Rye Dye Rye IPA.,
Young Lion, Raspberry Sour; Mexican Lager; Mocha Stout.,
Katboocha, Kombucha mix.,
Happy Gut, Mix of tea ferments.,
Seed + Stone, Sima mead; Blackberry mead; Azacca God cider; Citrus Splash cider.,
Blue Barn, Jostaberry Jam cider; Blueberry cider.,
Embark, Blueberry Peach cider; Strawberry Rhubard cider; Dreamcicle heavily fruited cider; Cider Orchard series.,
Illumination, Variety of meads.,
Community Beer Works, CBW R&D IPA #1.0; No Illusions (collab with Unified).,
Thin Man, Wake and Lake pineapple IPA; Certified Squid fruited sour.,
Resurgence, Greenheart IPA; On the Tee sour.,
Wayland, Larkspur wit; Full Send Citra IPA; Fun Fact West Coast Pilsner; Festa cherry sour.,
BriarBrothers, Public Secret imperial coffee vanilla stout; Woah… That’s Nelson (imperial oat cream IPA); 5.0 Kickback blueberry coffee vanilla sour.,
Pressure Drop, Something ridiculously fresh and hoppy; Rye BA Blackalicious.,
Big Ditch, Mudlarked Tiramisu imperial stout; Pineapple Burner IPA; Flow Rider citrus ale; Pay Per View hazy IPA.,
42 North, Solshine lager; Cherry Vanilla gose; mix of BA wild ales.,
Underground Beer Lab, Defies Logic pale ale; Mix of IPAs.,
Trophy, Cloud Surfer modern IPA; Cakebier (BA pastry stout).,
Wayward Lane, Earthrise on the Moon session stout; Brunnendorf NYS Hefeweizen; Quercus double barrel-aged English barleywine.,
Steuben, Perle Kolsch; Coldbrook Pilsner.,
Prison City, Mass Riot IPA; Barrel-aged Wham Whams imperial stout.,
Human Robot, Hallertau Pilsner.,
Godspeed, Sklepník (Pitch Lined Plzen-Style Pale Lager *conditioned in pitch lined Pilsner Urquell barrels); Buh Original Czech Pale Lager (Czechvar collaboration) ,
Wild East, Subtle Reference (Threes collab) foeder-aged Czech lager; Turnstyle Nopal (prickly pear margarita-inspired Berliner weisse); Punk Lullaby West Coast IPA; Prescience (brett blonde ale).,
KCBC, Venomous Villains West Coast IPA; Beach Zombie sour.,
Beer Tree, Juiceland DIPA; Shandy; Lake Lager.,
Lagunitas, Island Beats IPA; Lagunitas Pils; Hoppy Refresher.,
Allagash, Hop Reach IPA; Seconds to Summer lager.,
Froth, Juice Life IPA; Liquid Lollypop (flavors TBD).,
Kettlehead, Dreamstate DIPA; Pulpy IPA; Miami Weisse Berliner weisse; Elvis Lives imperial milk stout.,
Old Thunder, 340 Lager; False Kingdom IPA.,
Eredita, Tact (Citra + Simcoe IPA); Barred imperial coffee stout; PapaPils.,
Finback, Dot dot dot Pilsner; Grazing in the Ordinary BA stout; High Low DIPA; Sorta Queens DIPA.,
Tin Barn, Pacific Cooler sour; Back 40 IPA.,
Sloop, Das Jaegermeister IPA; Italian Pilsner.,
Arkane, Galaxy Kwest IPA; Pinkish Lemonade sour; Gimme Swelter sour; Disasterpiece, Start a Nigh DIPA; Some fun surprises.
Heavy Reel, Luvv Creamsicle sour; Luvv Dole Whip sour; Coastline IPA.,
Dewey, El Trono Mexican lager; Pineapple Papaya Marmalade sour; Orange Peach Marmalade sour.,
Imprint, First Person Sipper IPA; Frio Lime Lager; Margarita Shandy; Origins Colombia Marshmallow Imperial Stout; Schmoojee Banana Mango Cake heavily fruited sour; Imployees Only rice lager.,
Celestial, Triple Stars TIPA; Double Stars DIPA; Electromagnet IPA; Polymath American light lager.,
Blood Brothers, Cactus Head IPA; Devil’s Trill DIPA; Paradise Lost Citrus Five Alive sour; Charles BA stout.,
Aurora, Bee sting cocktail sour; Blood Orange La Crema cream ale; Collab IPA.,
Grimm, Bright Lights IPA; Grimm Weisse; Saison Spritz, Brooklyn.
Rare Form, Confetti Mexican lager; Royal Coconut Cream Ale.,
Jack’s Abby, Ray Catcher rice lager; Lime Rickey tart lager.,
Threes, All or Nothing West Coast IPA; Vliet Pilsner.,
Cinderlands, Cindi’s Hard Mountain Tea; Dry Country West Coast-style Pilsner; Pittsburghenstraße (Franconian lager collab w/ Human Robot).,
Counterpart," Where Eagles Have Landed hazy DIPA; Clockwork (Citra Simcoe) hazy IPA; Zombie (apricot, banana, orange, pineapple) smoothie sour.",